ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
1003,Palm Jumeirah,1 BR,1,903,59,Low-Rise,Semi-Furnished,Canal View,New,1,3832000,4244,215000,14640,2022-02-22,81
1004,DIFC,Studio,1,500,50,Serviced Apartment,Unfurnished,Sea View,New,1,1830000,3660,101000,6937,2024-05-08,101
1005,Dubai Hills Estate,2 BR,2,1168,16,Low-Rise,Unfurnished,Canal View,Average,1,2393000,2049,173000,17966,2024-08-17,155
1006,Dubailand,5+ BR,4,4991,59,Mid-Rise,Furnished,Garden View,New,0,4884000,979,362000,95049,2025-01-14,149
1007,Dubai Marina,5+ BR,4,5603,60,Mid-Rise,Furnished,Park View,New,1,14452000,2579,1155000,94951,2024-05-14,51
1008,Al Nahda,4 BR,4,2467,57,Villa Compound,Semi-Furnished,Sea View,New,2,3041000,1233,208000,46167,2022-03-14,92
1009,Al Jaddaf,Studio,1,535,4,Low-Rise,Unfurnished,Canal View,Excellent,2,649000,1213,42000,9572,2022-06-12,173
1010,Deira,5+ BR,4,5684,11,Villa Compound,Unfurnished,Street View,New,2,4177000,735,295000,141555,2022-04-29,73
1011,Al Quoz,2 BR,2,1418,54,Mid-Rise,Unfurnished,Sea View,Average,1,1415000,998,81000,25856,2023-09-01,121
1012,Al Jaddaf,4 BR,4,2422,18,Low-Rise,Unfurnished,Garden View,New,2,2713000,1120,213000,46486,2025-01-29,7
1013,Deira,1 BR,1,727,23,Villa Compound,Furnished,Canal View,Excellent,1,838000,1153,57000,16471,2024-07-20,14
1014,Dubai Marina,1 BR,1,723,29,High-Rise,Unfurnished,Burj Khalifa View,Excellent,2,1696000,2346,129000,11336,2022-01-18,102
1015,Downtown Dubai,2 BR,2,1111,13,Low-Rise,Unfurnished,Sea View,Excellent,1,2715000,2444,202000,21511,2022-01-17,116
1016,Dubailand,2 BR,2,1421,5,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,2,1317000,927,99000,25979,2024-05-13,127
1017,Jumeirah Beach Residence (JBR),Studio,1,560,26,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,2,1533000,2738,97000,12812,2024-08-11,142
1018,Downtown Dubai,5+ BR,4,3942,21,Villa Compound,Unfurnished,Canal View,Average,1,9073000,2302,643000,53213,2023-09-23,74
1019,Bur Dubai,5+ BR,4,5386,46,High-Rise,Semi-Furnished,Garden View,Good,0,5031000,934,338000,89681,2024-05-28,59
1020,DIFC,1 BR,1,665,6,High-Rise,Unfurnished,Pool View,Average,0,1463000,2200,98000,13429,2023-12-16,148
1021,Al Quoz,4 BR,3,3200,49,High-Rise,Unfurnished,Burj Khalifa View,New,2,3824000,1195,240000,71424,2024-12-09,53
1022,Remraam,2 BR,2,1399,10,High-Rise,Furnished,City View,Good,2,1172000,838,65000,31434,2023-07-23,15
1023,Damac Hills,2 BR,2,985,60,Serviced Apartment,Unfurnished,Garden View,Good,0,1198000,1216,102000,13694,2025-02-17,156
1024,Deira,2 BR,2,987,21,High-Rise,Unfurnished,Canal View,New,1,966000,979,55000,19109,2024-05-31,173
1025,Jumeirah Lakes Towers (JLT),4 BR,4,2333,24,Serviced Apartment,Unfurnished,Canal View,Excellent,2,4117000,1765,311000,49950,2024-12-17,134
1026,Al Barsha,2 BR,2,1080,22,Serviced Apartment,Furnished,Street View,Good,2,1247000,1155,92000,18420,2023-11-10,135
1027,Dubai Creek Harbour,2 BR,2,1311,56,Villa Compound,Furnished,Pool View,Average,2,2077000,1584,155000,19868,2023-08-30,147
1028,Deira,5+ BR,6,5469,41,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,1,5138000,939,373000,78247,2025-03-09,178
1029,Oud Metha,3 BR,2,1422,2,Serviced Apartment,Unfurnished,Park View,Good,2,1326000,932,82000,26840,2023-04-18,22
1030,Oud Metha,Studio,1,419,11,Villa Compound,Furnished,Canal View,Average,2,461000,1100,34000,5111,2025-02-25,169
1031,Jumeirah Beach Residence (JBR),3 BR,2,1956,26,Mid-Rise,Semi-Furnished,City View,Excellent,0,5009000,2561,394000,46704,2022-10-22,99
1032,Downtown Dubai,4 BR,4,3064,36,Serviced Apartment,Unfurnished,Street View,Good,1,6954000,2270,484000,62395,2025-04-05,19
1033,Dubai South,5+ BR,6,4286,31,High-Rise,Unfurnished,Park View,New,1,3467000,809,202000,64071,2023-07-04,40
1034,Jumeirah Lakes Towers (JLT),4 BR,3,2913,31,Serviced Apartment,Unfurnished,Park View,Good,0,4640000,1593,356000,66669,2022-11-02,61
1035,Dubai Silicon Oasis,2 BR,2,1244,54,Mid-Rise,Unfurnished,Park View,Excellent,0,1396000,1122,85000,15275,2023-04-06,52
1036,Jumeirah Village Circle (JVC),4 BR,4,3203,15,Villa Compound,Furnished,Pool View,Good,0,3951000,1234,315000,63250,2024-04-24,120
1037,Damac Hills,Studio,1,478,10,Serviced Apartment,Unfurnished,City View,Excellent,2,588000,1230,36000,7334,2022-09-27,75
1038,Dubai Creek Harbour,3 BR,3,1906,1,High-Rise,Semi-Furnished,Garden View,Average,0,2681000,1407,187000,36227,2022-10-05,6
1039,Damac Hills,5+ BR,6,5709,15,Low-Rise,Furnished,Garden View,Good,0,6920000,1212,393000,101898,2022-02-12,158
1040,Jumeirah Lakes Towers (JLT),4 BR,4,2011,45,Serviced Apartment,Semi-Furnished,Sea View,Excellent,1,3833000,1906,325000,26543,2022-10-05,52
1041,Dubai Hills Estate,5+ BR,4,4953,18,High-Rise,Furnished,Park View,New,1,10664000,2153,725000,80999,2025-02-24,16
1042,Al Nahda,4 BR,3,3180,51,Low-Rise,Furnished,Pool View,Good,1,3158000,993,211000,63304,2024-09-29,155
1043,Al Nahda,2 BR,2,1015,51,Villa Compound,Furnished,Sea View,Excellent,1,1135000,1118,88000,15578,2025-03-23,59
1044,Al Nahda,2 BR,2,1488,14,Mid-Rise,Furnished,Canal View,Average,0,1297000,872,90000,30867,2022-01-26,107
1045,International City,4 BR,3,3251,16,Low-Rise,Unfurnished,Pool View,Average,1,1551000,477,98000,63886,2022-08-23,33
1046,DIFC,1 BR,1,876,10,Mid-Rise,Unfurnished,Street View,Average,2,2057000,2348,141000,16233,2025-02-25,111
1047,Damac Hills,2 BR,2,1356,32,Villa Compound,Semi-Furnished,Pool View,Excellent,0,1957000,1443,109000,23798,2024-08-03,101
1048,Bur Dubai,4 BR,3,3140,22,Serviced Apartment,Furnished,Garden View,New,2,3200000,1019,246000,40749,2023-07-01,96
1049,Oud Metha,Studio,1,419,2,Mid-Rise,Unfurnished,Canal View,Average,0,401000,957,31000,6040,2023-04-10,63
1050,Dubai South,5+ BR,5,4533,6,Mid-Rise,Unfurnished,City View,Excellent,1,3392000,748,244000,56889,2023-11-16,99
1051,Palm Jumeirah,Studio,1,569,2,Mid-Rise,Semi-Furnished,Pool View,Excellent,1,1733000,3046,143000,7445,2023-01-23,16
1052,Dubai Marina,4 BR,3,2243,54,Serviced Apartment,Unfurnished,Sea View,Average,2,6249000,2786,466000,47262,2025-01-20,105
1053,Bur Dubai,5+ BR,6,3691,29,High-Rise,Unfurnished,Sea View,Excellent,2,3520000,954,294000,47619,2022-11-26,119
1054,Bur Dubai,3 BR,2,1843,41,Low-Rise,Semi-Furnished,Street View,Good,1,1617000,877,113000,32129,2022-08-07,72
1055,Dubai Marina,5+ BR,4,5485,22,Villa Compound,Semi-Furnished,Park View,New,0,13304000,2426,1077000,72891,2023-09-20,25
1056,Jumeirah Village Circle (JVC),2 BR,2,1349,12,High-Rise,Semi-Furnished,Park View,Good,0,1396000,1035,91000,32227,2023-07-06,172
1057,Dubailand,3 BR,3,2094,30,Villa Compound,Semi-Furnished,Street View,Good,0,2023000,966,139000,43144,2025-04-25,28
1058,Oud Metha,4 BR,4,3194,16,Serviced Apartment,Unfurnished,Park View,Excellent,0,3251000,1018,229000,61624,2022-02-12,32
1059,Oud Metha,5+ BR,6,3517,18,Low-Rise,Unfurnished,City View,New,0,4026000,1145,266000,59672,2022-02-01,72
1060,Arjan,3 BR,3,1787,20,Low-Rise,Furnished,City View,Average,1,2079000,1163,168000,24594,2022-04-22,109
1061,Jumeirah Lakes Towers (JLT),Studio,1,354,37,High-Rise,Semi-Furnished,Pool View,Good,0,560000,1582,34000,5502,2023-02-10,110
1062,Jumeirah Village Circle (JVC),2 BR,2,1148,11,Low-Rise,Unfurnished,Sea View,Good,1,1385000,1206,110000,15704,2022-04-22,116
1063,Jumeirah Beach Residence (JBR),4 BR,3,3245,9,Mid-Rise,Unfurnished,Canal View,Excellent,0,8021000,2472,573000,58561,2022-01-22,41
1064,Mirdif,5+ BR,5,3840,35,Mid-Rise,Semi-Furnished,Street View,New,1,3934000,1024,243000,85273,2024-12-19,53
1065,Oud Metha,5+ BR,5,4598,14,Villa Compound,Semi-Furnished,Sea View,Excellent,0,5529000,1202,330000,95476,2022-08-12,92
1066,Dubai Hills Estate,4 BR,3,2491,51,Low-Rise,Semi-Furnished,Sea View,Average,2,4868000,1954,270000,46182,2022-06-11,132
1067,Al Quoz,2 BR,2,1470,4,Low-Rise,Unfurnished,Pool View,Good,1,983000,669,80000,22059,2023-01-15,149
1068,Dubai Hills Estate,2 BR,2,1156,17,Mid-Rise,Unfurnished,Garden View,Good,0,1900000,1644,112000,16083,2023-07-18,172
1069,Deira,Studio,1,480,29,Low-Rise,Furnished,City View,Excellent,0,471000,981,26000,9204,2024-06-09,115
1070,Dubai South,3 BR,2,2114,42,Low-Rise,Unfurnished,Park View,Excellent,0,1571000,743,113000,38427,2023-08-26,29
1071,Jumeirah Village Circle (JVC),3 BR,3,1402,48,Serviced Apartment,Unfurnished,Street View,Good,2,1690000,1205,110000,24652,2023-04-28,180
1072,Business Bay,2 BR,2,1241,32,Mid-Rise,Furnished,Burj Khalifa View,Average,2,2903000,2339,207000,19110,2023-05-26,64
1073,Al Nahda,5+ BR,4,4767,54,Low-Rise,Furnished,Street View,Good,0,4486000,941,293000,112053,2024-10-24,124
1074,Dubai Creek Harbour,4 BR,3,3121,27,Villa Compound,Furnished,Garden View,Good,0,5266000,1687,367000,71141,2024-04-27,10
1075,Dubai South,4 BR,3,2298,52,High-Rise,Semi-Furnished,Garden View,Excellent,1,1788000,778,131000,27733,2024-06-07,127
1076,Business Bay,4 BR,4,3451,2,Serviced Apartment,Furnished,Pool View,Good,1,6290000,1823,400000,42364,2022-07-10,51
1077,Arjan,2 BR,2,1211,46,Villa Compound,Unfurnished,Street View,Excellent,0,1418000,1171,93000,20598,2024-05-07,19
1078,International City,Studio,1,609,36,Mid-Rise,Unfurnished,Sea View,Average,0,407000,668,33000,13187,2023-02-23,33
1079,Mirdif,Studio,1,562,42,High-Rise,Furnished,Park View,Excellent,2,554000,986,33000,7071,2023-06-17,140
1080,Damac Hills,2 BR,2,1136,52,Villa Compound,Unfurnished,Canal View,Excellent,0,1765000,1554,140000,20318,2022-10-25,176
1081,Remraam,1 BR,1,849,51,High-Rise,Unfurnished,Sea View,Good,2,792000,933,44000,12942,2022-01-06,83
1082,Deira,2 BR,2,1325,34,High-Rise,Unfurnished,Burj Khalifa View,Average,0,1155000,872,68000,27235,2023-12-30,176
1083,Arjan,2 BR,2,971,18,Mid-Rise,Unfurnished,City View,Average,0,885000,911,72000,12023,2025-02-12,79
1084,Al Nahda,5+ BR,6,3448,37,High-Rise,Semi-Furnished,Street View,New,0,3244000,941,197000,84194,2022-10-30,14
1085,Jumeirah Lakes Towers (JLT),5+ BR,5,5665,1,Serviced Apartment,Unfurnished,City View,Excellent,1,7529000,1329,504000,112947,2024-03-11,169
1086,Dubai Silicon Oasis,5+ BR,4,3837,35,Mid-Rise,Semi-Furnished,Street View,Good,1,3886000,1013,264000,77254,2023-09-15,138
1087,Dubai Marina,5+ BR,5,3758,47,Serviced Apartment,Semi-Furnished,Garden View,New,0,9467000,2519,556000,57285,2025-05-05,40
1088,Dubailand,5+ BR,6,4452,39,Villa Compound,Furnished,Sea View,Excellent,0,5929000,1332,414000,81210,2024-04-01,48
1089,DIFC,5+ BR,4,4351,4,Serviced Apartment,Furnished,Burj Khalifa View,Good,2,14947000,3435,1061000,67747,2022-09-03,123
1090,Dubai Hills Estate,2 BR,2,1053,30,High-Rise,Unfurnished,Burj Khalifa View,Good,2,2328000,2211,195000,22890,2024-03-05,110
1091,Dubailand,1 BR,1,617,26,Low-Rise,Furnished,Garden View,New,1,673000,1091,49000,14837,2024-11-22,59
1092,Jumeirah Village Circle (JVC),3 BR,3,1673,16,Mid-Rise,Unfurnished,Garden View,New,0,2061000,1232,119000,29117,2022-01-30,125
1093,Palm Jumeirah,5+ BR,4,3436,59,Low-Rise,Unfurnished,Park View,Excellent,0,12578000,3661,1019000,59249,2023-02-20,73
1094,Al Jaddaf,5+ BR,6,5961,42,Serviced Apartment,Unfurnished,Canal View,Average,0,7949000,1334,538000,91523,2022-10-26,40
1095,Bur Dubai,Studio,1,646,48,Mid-Rise,Furnished,Park View,New,1,673000,1042,54000,14120,2023-08-26,16
1096,Bur Dubai,1 BR,1,675,33,Low-Rise,Furnished,Park View,Good,1,638000,945,49000,8532,2022-06-23,75
1097,Mirdif,1 BR,1,915,37,Mid-Rise,Semi-Furnished,Canal View,Average,0,1023000,1118,84000,20322,2025-03-10,70
1098,Jumeirah Beach Residence (JBR),Studio,1,528,45,Mid-Rise,Furnished,Park View,New,2,1422000,2693,100000,8535,2024-10-24,96
1099,Dubailand,1 BR,1,853,38,Mid-Rise,Unfurnished,Burj Khalifa View,New,1,910000,1067,59000,10463,2024-12-29,112
1100,Mirdif,2 BR,2,1216,5,Serviced Apartment,Semi-Furnished,Canal View,Average,2,1113000,915,68000,19589,2022-08-05,105
1101,Mirdif,2 BR,2,1082,30,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,1,1496000,1383,97000,21908,2024-05-01,141
1102,Deira,3 BR,2,1602,7,Low-Rise,Unfurnished,Sea View,Average,0,1131000,706,83000,28262,2023-09-24,89
1103,Dubai Creek Harbour,3 BR,2,2144,24,High-Rise,Unfurnished,Sea View,Good,1,3671000,1712,244000,49483,2023-04-26,20
1104,Dubai Silicon Oasis,Studio,1,556,45,Villa Compound,Furnished,Street View,Average,2,543000,977,38000,9854,2024-02-12,12
1105,Oud Metha,3 BR,3,2149,7,Low-Rise,Unfurnished,Burj Khalifa View,Average,0,1997000,929,160000,50152,2023-09-01,106
1106,Jumeirah Village Circle (JVC),4 BR,4,3143,51,Mid-Rise,Furnished,Park View,Good,1,4237000,1348,292000,38281,2023-07-03,27
1107,Arjan,3 BR,2,1612,43,Villa Compound,Furnished,Park View,Average,1,1607000,997,113000,36952,2024-01-04,21
1108,Al Barsha,Studio,1,571,26,Low-Rise,Furnished,Garden View,New,0,702000,1229,52000,12908,2022-09-29,144
1109,Palm Jumeirah,5+ BR,6,3226,56,Low-Rise,Semi-Furnished,Garden View,Average,2,9543000,2958,720000,49413,2024-10-10,15
1110,Jumeirah Village Circle (JVC),4 BR,3,3204,17,Low-Rise,Furnished,Pool View,Good,1,3844000,1200,229000,53752,2023-09-30,72
1111,Dubai South,5+ BR,6,5948,1,Mid-Rise,Unfurnished,Sea View,Good,1,4602000,774,277000,129532,2023-05-20,55
1112,Business Bay,3 BR,2,1647,29,Mid-Rise,Furnished,Park View,Good,1,3360000,2040,197000,37200,2024-04-16,20
1113,Business Bay,Studio,1,452,4,Mid-Rise,Semi-Furnished,Pool View,Average,0,693000,1533,45000,10092,2024-11-02,145
1114,Remraam,3 BR,3,1885,59,Mid-Rise,Unfurnished,Sea View,New,0,1948000,1033,129000,24183,2024-04-14,157
1115,Dubai Creek Harbour,5+ BR,5,3765,4,Serviced Apartment,Furnished,Street View,New,1,7208000,1914,584000,55420,2022-07-28,141
1116,DIFC,1 BR,1,866,42,Mid-Rise,Furnished,Garden View,Average,1,2444000,2822,176000,13218,2023-10-17,114
1117,DIFC,Studio,1,642,57,Villa Compound,Semi-Furnished,Park View,Excellent,2,1867000,2908,117000,14383,2023-07-03,23
1118,Bur Dubai,5+ BR,5,4322,32,Low-Rise,Unfurnished,Garden View,Average,0,3596000,832,242000,61679,2024-11-18,175
1119,Jumeirah Beach Residence (JBR),4 BR,3,3368,40,Low-Rise,Semi-Furnished,Canal View,Average,1,7976000,2368,493000,58790,2023-12-20,20
1120,Dubai South,2 BR,2,1355,47,High-Rise,Semi-Furnished,Sea View,Average,0,1250000,923,101000,23496,2024-02-27,168
1121,Mirdif,1 BR,1,814,2,Villa Compound,Unfurnished,Burj Khalifa View,Good,1,777000,955,63000,11969,2025-01-01,25
1122,Dubai Creek Harbour,4 BR,3,2457,56,Mid-Rise,Unfurnished,Garden View,Average,0,3949000,1607,236000,49932,2024-12-09,103
1123,Business Bay,2 BR,2,1349,33,Serviced Apartment,Furnished,Pool View,Excellent,0,3030000,2246,196000,20600,2025-03-29,138
1124,Dubailand,2 BR,2,1266,35,Villa Compound,Semi-Furnished,Canal View,Good,0,1397000,1103,81000,18333,2023-02-13,85
1125,Dubailand,Studio,1,493,33,Villa Compound,Unfurnished,City View,Average,1,432000,876,31000,10534,2024-11-19,41
1126,Arjan,1 BR,1,646,31,Villa Compound,Unfurnished,Pool View,New,0,683000,1057,44000,8031,2022-12-21,173
1127,Business Bay,3 BR,2,1961,45,Villa Compound,Unfurnished,Burj Khalifa View,Average,1,3640000,1856,283000,46775,2022-09-13,125
1128,Al Nahda,1 BR,1,754,60,Mid-Rise,Unfurnished,City View,New,2,767000,1017,63000,14921,2023-06-22,125
1129,Jumeirah Beach Residence (JBR),3 BR,3,1460,23,Serviced Apartment,Semi-Furnished,Sea View,Average,2,3736000,2559,248000,36070,2022-04-05,60
1130,Bur Dubai,5+ BR,5,5324,10,Serviced Apartment,Unfurnished,Burj Khalifa View,Good,2,4271000,802,263000,121017,2023-09-27,84
1131,Jumeirah Beach Residence (JBR),1 BR,1,610,55,Mid-Rise,Unfurnished,Canal View,New,0,1691000,2772,129000,9939,2022-02-22,22
1132,Al Quoz,Studio,1,647,47,High-Rise,Semi-Furnished,City View,Average,1,521000,805,35000,10372,2022-08-03,31
1133,Deira,Studio,1,360,1,Mid-Rise,Semi-Furnished,City View,New,0,345000,958,25000,4836,2023-01-05,2
1134,Palm Jumeirah,4 BR,3,3392,51,Villa Compound,Unfurnished,City View,Excellent,1,12645000,3728,1020000,74862,2025-02-03,15
1135,Dubai Silicon Oasis,5+ BR,5,5651,20,Villa Compound,Unfurnished,Sea View,Good,2,6329000,1120,502000,70895,2022-11-08,129
1136,Dubai Creek Harbour,2 BR,2,1432,20,Low-Rise,Furnished,City View,Average,0,2522000,1761,140000,30331,2024-01-17,37
1137,Al Nahda,Studio,1,363,43,Low-Rise,Semi-Furnished,Garden View,New,0,385000,1061,29000,5878,2023-07-10,30
1138,Palm Jumeirah,Studio,1,437,27,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,0,1781000,4076,143000,6265,2022-10-02,176
1139,Jumeirah Village Circle (JVC),1 BR,1,849,4,Mid-Rise,Unfurnished,Canal View,New,1,1106000,1303,71000,17440,2023-03-16,125
1140,Dubai Silicon Oasis,Studio,1,354,12,High-Rise,Unfurnished,Park View,Average,2,291000,822,23000,7062,2022-07-14,28
1141,Jumeirah Village Circle (JVC),Studio,1,554,40,High-Rise,Semi-Furnished,Pool View,New,1,763000,1377,47000,12558,2023-07-26,120
1142,Palm Jumeirah,4 BR,3,2216,46,Mid-Rise,Furnished,Street View,New,0,9255000,4176,532000,39700,2024-02-09,133
1143,Deira,2 BR,2,1009,1,Low-Rise,Unfurnished,Park View,Average,2,633000,627,52000,17544,2023-12-06,142
1144,Oud Metha,2 BR,2,1059,46,High-Rise,Semi-Furnished,Park View,Excellent,1,1189000,1123,68000,21528,2022-06-23,91
1145,Jumeirah Beach Residence (JBR),4 BR,3,3167,60,Serviced Apartment,Furnished,Pool View,Excellent,0,8188000,2585,532000,56584,2022-07-02,111
1146,Dubai Creek Harbour,3 BR,3,2026,17,Mid-Rise,Semi-Furnished,Street View,Excellent,2,3482000,1719,282000,27305,2023-05-24,11
1147,Deira,2 BR,2,1165,14,High-Rise,Semi-Furnished,Garden View,Average,0,807000,693,65000,26674,2025-02-07,115
1148,Dubai South,1 BR,1,875,13,Mid-Rise,Unfurnished,Sea View,Good,2,723000,826,46000,20661,2022-04-20,20
1149,International City,4 BR,3,2197,19,Serviced Apartment,Furnished,Pool View,Average,1,1271000,579,79000,53210,2025-04-07,117
1150,Jumeirah Lakes Towers (JLT),4 BR,4,3313,5,Low-Rise,Semi-Furnished,Park View,Excellent,2,4885000,1474,297000,51023,2022-09-18,176
1151,Jumeirah Lakes Towers (JLT),2 BR,2,1135,26,High-Rise,Furnished,Burj Khalifa View,New,0,2348000,2069,134000,14583,2024-11-24,90
1152,Al Quoz,Studio,1,557,50,Serviced Apartment,Unfurnished,Park View,Excellent,0,523000,939,41000,11683,2024-07-23,87
1153,Dubai South,4 BR,4,2776,8,Mid-Rise,Furnished,Burj Khalifa View,New,2,2714000,978,202000,50207,2023-04-12,103
1154,Mirdif,4 BR,3,2718,5,Mid-Rise,Semi-Furnished,Garden View,Excellent,0,2493000,917,166000,54771,2023-07-31,165
1155,Dubai Creek Harbour,2 BR,2,1039,52,Serviced Apartment,Semi-Furnished,Street View,Average,0,1768000,1702,119000,12891,2024-03-13,53
1156,Deira,3 BR,2,2003,2,Mid-Rise,Semi-Furnished,Street View,New,1,1787000,892,98000,40216,2022-02-26,153
1157,Dubai Marina,2 BR,2,1370,31,Low-Rise,Furnished,Garden View,Good,1,3271000,2388,186000,24735,2024-07-23,121
1158,Remraam,1 BR,1,691,1,Serviced Apartment,Furnished,Burj Khalifa View,Good,2,678000,981,50000,10452,2024-06-08,54
1159,DIFC,2 BR,2,1055,21,Mid-Rise,Semi-Furnished,Sea View,Good,2,3081000,2920,237000,18920,2023-12-05,6
1160,Deira,1 BR,1,773,59,Low-Rise,Furnished,Street View,New,2,819000,1060,66000,13117,2022-05-13,35
1161,Remraam,5+ BR,5,4328,23,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Excellent,1,3966000,916,323000,53013,2024-11-09,166
1162,Al Quoz,1 BR,1,930,23,Low-Rise,Semi-Furnished,Street View,New,2,830000,892,62000,18095,2024-01-22,149
1163,Al Nahda,1 BR,1,824,49,Mid-Rise,Semi-Furnished,Garden View,Average,1,639000,775,41000,14901,2022-05-03,76
1164,Palm Jumeirah,Studio,1,500,26,Mid-Rise,Unfurnished,Canal View,Excellent,0,1795000,3590,129000,11301,2023-10-16,7
1165,Arjan,2 BR,2,1241,39,High-Rise,Semi-Furnished,Park View,Good,1,1321000,1064,83000,25877,2022-08-09,122
1166,Al Jaddaf,Studio,1,617,15,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,0,781000,1266,58000,8243,2022-04-10,40
1167,Dubai Marina,2 BR,2,1209,21,Low-Rise,Semi-Furnished,Canal View,Good,0,2825000,2337,167000,21979,2024-11-10,115
1168,Remraam,Studio,1,516,45,Low-Rise,Semi-Furnished,City View,Excellent,0,443000,859,31000,8375,2023-03-05,145
1169,Palm Jumeirah,2 BR,2,1109,9,Mid-Rise,Unfurnished,Pool View,Excellent,1,3059000,2758,183000,15208,2024-03-29,37
1170,Oud Metha,2 BR,2,1453,55,Mid-Rise,Semi-Furnished,Garden View,New,0,1590000,1094,91000,25452,2024-02-08,115
1171,Dubai Creek Harbour,2 BR,2,1425,31,Serviced Apartment,Furnished,Pool View,New,0,3082000,2163,215000,22931,2025-05-05,9
1172,Dubai Silicon Oasis,4 BR,4,2766,12,Serviced Apartment,Semi-Furnished,City View,Average,2,2486000,899,158000,67892,2024-10-23,115
1173,Deira,Studio,1,400,38,Villa Compound,Unfurnished,Burj Khalifa View,New,0,428000,1070,28000,5746,2023-11-23,123
1174,Jumeirah Beach Residence (JBR),3 BR,2,1927,11,Mid-Rise,Semi-Furnished,Park View,Good,2,3815000,1980,288000,43727,2022-07-28,135
1175,Arjan,4 BR,3,3324,56,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,1,5468000,1645,422000,78023,2025-01-22,108
1176,Oud Metha,2 BR,2,1209,34,Mid-Rise,Semi-Furnished,Street View,Good,0,1260000,1042,103000,19292,2022-08-14,74
1177,Dubai Creek Harbour,1 BR,1,747,2,Villa Compound,Furnished,Park View,Average,1,1269000,1699,73000,11198,2024-09-30,54
1178,Al Barsha,3 BR,3,2182,10,High-Rise,Furnished,City View,Excellent,0,2507000,1149,178000,48866,2024-06-07,7
1179,Dubai Creek Harbour,1 BR,1,925,38,High-Rise,Semi-Furnished,City View,Average,0,1609000,1739,95000,13735,2024-07-12,42
1180,Remraam,3 BR,3,2149,60,High-Rise,Semi-Furnished,Street View,Average,1,1549000,721,93000,48086,2023-05-13,13
1181,Business Bay,Studio,1,495,28,High-Rise,Furnished,Park View,Excellent,2,1089000,2200,77000,6665,2024-07-27,149
1182,Dubai Silicon Oasis,3 BR,2,1685,47,Mid-Rise,Furnished,Sea View,Good,2,2112000,1253,166000,40391,2023-12-08,129
1183,Business Bay,3 BR,2,1591,8,Serviced Apartment,Semi-Furnished,Canal View,Good,0,3445000,2165,197000,20030,2023-05-30,70
1184,International City,2 BR,2,1166,43,Mid-Rise,Semi-Furnished,Sea View,New,0,980000,840,56000,18616,2025-01-11,69
1185,Dubai South,2 BR,2,1250,36,High-Rise,Furnished,Burj Khalifa View,New,1,1339000,1071,89000,23814,2024-05-05,138
1186,Al Barsha,2 BR,2,1068,52,Mid-Rise,Furnished,Burj Khalifa View,Average,1,1311000,1228,93000,25654,2022-06-02,147
1187,Al Nahda,5+ BR,4,3187,26,High-Rise,Semi-Furnished,Canal View,New,0,3664000,1150,239000,56194,2024-09-14,162
1188,DIFC,5+ BR,4,3240,33,High-Rise,Furnished,Pool View,Average,1,8070000,2491,642000,69418,2023-03-14,150
1189,Jumeirah Lakes Towers (JLT),4 BR,3,2611,46,Mid-Rise,Semi-Furnished,Burj Khalifa View,Good,2,5288000,2025,430000,31970,2023-08-13,69
1190,Al Barsha,4 BR,4,2371,42,High-Rise,Furnished,Park View,Good,2,2493000,1051,186000,45482,2023-01-23,112
1191,Dubai Hills Estate,3 BR,2,1488,10,Serviced Apartment,Unfurnished,Park View,Average,2,2264000,1522,147000,19271,2024-03-12,61
1192,Jumeirah Village Circle (JVC),Studio,1,571,1,High-Rise,Unfurnished,City View,New,1,721000,1263,61000,7970,2023-04-26,118
1193,Dubai Silicon Oasis,1 BR,1,761,31,Serviced Apartment,Furnished,Park View,New,1,992000,1304,83000,9549,2023-10-06,94
1194,Arjan,4 BR,3,3297,32,High-Rise,Unfurnished,Street View,Good,1,3372000,1023,257000,57261,2022-04-24,119
1195,Dubai Silicon Oasis,5+ BR,6,3604,37,Low-Rise,Semi-Furnished,Park View,Excellent,2,3909000,1085,318000,58322,2022-09-14,28
1196,Mirdif,1 BR,1,856,51,High-Rise,Unfurnished,Street View,Good,2,771000,901,64000,18816,2023-03-03,30
1197,Dubailand,1 BR,1,630,36,Low-Rise,Unfurnished,Sea View,New,0,710000,1127,54000,9890,2025-04-15,154
1198,International City,3 BR,3,2090,11,Low-Rise,Semi-Furnished,Park View,Average,1,1047000,501,79000,27301,2024-04-12,63
1199,Deira,1 BR,1,929,4,Mid-Rise,Semi-Furnished,Garden View,Excellent,1,738000,794,52000,15538,2022-08-28,83
1200,Business Bay,4 BR,4,2284,29,Low-Rise,Furnished,Canal View,Good,1,5148000,2254,427000,54695,2023-10-18,165
1201,Dubai Silicon Oasis,1 BR,1,798,25,Villa Compound,Furnished,Street View,New,0,944000,1183,66000,12388,2023-10-09,41
